artist,release,label,cat_no,review,release_id
Samuel Rohrer,Range Of Regularity Remixes II,Arjunamusic,EP 713,Absolutely deadly Friedman-in-party-mode minimalist House compatible version,26796
Krust,The Portal,31 Records,S 031,Perfect techy Drum & Bass minimalism - fabulous reinvention of a legend,79094
Herbert,Reissues Part 5,Accidental,Jnr. 113,Completing the reissue of Herbert’s mid 1990s House revelation - still jacking!,18553
Kaiunta,The Attractor,Etherwerks,009,"Fabulous, cinematic, forceful Techno adventure",79914
Creta,Creta,Karl,053,‘blend[ing] sci-fi ambient atmospheres with dark bass pulses and bucolic-mediterranean string instruments’,21480
Wax,No. 60006,Wax,No. 60006,"Hard pumping, purely floor dedicated Shedism",60006
Afriqua,Vice/Principle EP,R&S,1808,"Outstanding mini-album covering fresh, explorative UKG / Electro / Ambient territory",19647
Carrier,47 17,47,017,"Blinding, powerful, suspenseful, Overlook & positive Centre prod. Techno fire",18626
Mr. Fingers,Inner / Outer Acid - Aleksi Perälä Remixes,Alleviated Music,2237-3,Larry Heard 'colundified' - a perfect match!,80137
Cassius Select,Essence,Accidental,Jnr. 102,"Ace, uplifting, swinging Grime affine beatscience - TIP!",21561
Overlook,Never Understand EP,Osiris Music,053,Stunningly executed Techno / Drum & Bass integration from the final frontier - TIP!,20076
Errol Brown & The Revolutionaries,Dub Expression,Dub Store,DSR-LP-615,"‘rocking rhythms [...] by Jamaica’s finest female record producer, Mrs Sonia Pottinger’",20819
Andrea,Forse,Ilian Tape,039,Fabulous Breakbeat Techno bombs & wonderful avant-Grime / Ambient Techno splendor,80467
Parallx,RR1,R - Label Group,RR1,"Hard hitting, no prisoners taking EBM Techno banger (in handmade 10"" packaging)",16270
Sedvs / Peel,Free Base Chakra,Morbid,013,"Flawless, direct, pure Techno",20313
HN42,RH2,R - Label Group,RH2,"Hard, direct, pure Techno banger",21405
François Bayle,Electrucs !,Transversales Disques,07,"Experimental, previously unrealeased, pioneering Acousmatic / Electronic music",80252
Velocette,Afterimage / Belle Du Jour,Styrax,D,"Audiophile, compiled, definitive reissue of mid 1990s Ambient Techno trips",NA
Yak,Rhodes Island,3024,FYE 2,Blinding percussive UKG / House winners,80328
The Maghreban,01Deas,R&S,1802,Truly intergalactic groove adventure by ‘our main man’ The Maghreban - Highly Recommended!,21338
Various Artists,FYE 1,3024,FYE 1,"Killer, UKG infused, stepping House mini-compilation",80195
Aleksi Perälä,Starlight 1,AP Musik,023,Perälä’s awesome & idiosyncratic Colundi setting in swinging intergalactic Electro mode,14081
Kid Lib,Time Zones,Fresh 86,181,"Stunning, far beyond 1990s Jungle revivalism reaching, proper Drum & Bass excursion",19444
Luster Feat. Beta Evers,Eternal (Ancient Methods Remixes),Linda,003,Perfect Ancient Methods remix prowess,79338
The Chosen Brothers,Sing & Shout,Wackies,2457,Ace mid 1980s Bullwackies album w/ revised track listing (w/ download code),12457
O/V/R,The World Remade,Downwards,LINOVR,Proper Techno by professionals - original Downwards vibes w/ locked grooves,45422
Facta,Dumb Hummer / All the Time,Livity Sound,030,"Flawless, twisted, warm Bristolian take on subs focused ‘UK Bass’ beat science",19780
P. Adrix,Álbum Desconhecido,Príncipe,022,"Mind bending, fearless blend of Kuduro & Grime derivatives - pure beat science 2nd to none",20813
Current 909,Something With Black In The Name,Aufnahme + Wiedergabe,XXIII,Outstanding slow motion Industrial / Ambient / Techno hybrid EP w/ strong doom metal reminiscences,79494
Pretty Sneaky,2,Pretty Sneaky,02,Pure rhythm & groove adventure reflecting on UK Bass related beat science & Dub Reggae roots,79829
Dream Cycle,Part Two EP,Sneaker Social Club,013,"Blinding, tripped out, proper leftfield UKG jams",19943
Jan Jelinek,Zwischen,Faitiche,017,Another ingenious Jelinek joint: the album version of radio play ‘Zwischen’ (w/ download code),20096
Aidan Baker & Gareth Davis,Invisible Cities,Karl,045,"Astonishing, meditative Drone / Ambient album - Highly Recommended!",22587
Klara Lewis & Simon Fisher Turner,Care,Mego,Editions 253,"Stunningly intense, beautiful & refreshing blend of CAD Electronics & cinematic Modern Classical (w/ download code)",18837
Young Hunting,A List Of Indignities,Persephonic Sirens,04,Stunningly deep Goth-Ambient beauties,21315
The Maghreban,Monster VIP,R&S,1812,Intergalactic Grime affine beatscience trips,18703
Dub Phizix,Ohm Grown 1,Senka Sonic,001 Ohm,Uplifting beatscience blending upfront Grime & Dance Hall vibes,18804
Karim Maas,Old World Disorder,UVB-76,009,Stunning Noise-Ambient scapes centered EP w/ out-there Drum & Bass / Techno affine cuts,19280
Stave,ATK - EP,UVB-76,010,"Set of sparsely arranged, ultra heavy Industrial Techno pulses",19281
Shackleton,Furnace Of Guts,Woe To The Septic Heart,006,Hyper-dimensional sound traveling in Shack’s mode for intergalactic dancers,11006
Sully x Outer Heaven,The Planets: Mercury,Rupture LDN,Planet 001,‘cosmic’ Drum & Bass excursions (one copy per customer),17170
Samuel Kerridge,The I Is Nothing,Downwards,78,Fearless Techno explorer w/ echoes on UK Grime & IDM heritage - Highly Recommended!,19539
Overlook,Public Image EP,UVB-76,012,Stunningly fresh take on Industrial / Drum & Bass integration,17178
Max Loderbauer,Brightbird Remixes,Arjunamusic,EP 717,Stunning Electronics in true explorer mode by ever convincing ML,19735
Bunny Wailer,Dubd’sco,Dub Store,DSR-LP-027,Valuable high-quality reissue of a cornerstone dub journey,19486
East Man,Stop Flapping Your Gums Vol.1,Hi Tek Sounds,001,"Flawless, purist & stunning original Grime beat science - Highly Recommended!",18817
Gesellschaft Zur Emanzipation Des Samples,Uguisubari,Faitiche,016,"Superb Radiophonics reminiscent, retro-futuristic Electronics",28761
Fret,Silent Neighbour EP,L.I.E.S.,111,"Blinding Mick Harris works blending Industrial Noise, Drum & Bass & advanced IDM Techno - TIP!",19994
Lowtec,Mitre Peak,Out To Lunch,008,Lowtec’s wonderful blend of Detroit trained Techno & chill-out Ambient House,32398
Various Artists,Two Spirits EP,UVB-76,011,"Superb mini showcase on upfront Drum & Bass related, modern club music",17186
Bruce,Sonder Somatic,Hessle Audio,LP 004,"Avant-Tech-House & experimental Grime & centred, sometimes fearlessly hard, outstanding album - download card included",18723
Paka,Lairs,Metaphysik,311,"Explorative, minimalist to purely percussive & sparse electro-esque Techno EP",78837
Skeptical,Enjoy This Trip,Exit,LP 018,"Skeptical sound in full effect: precisely dry & deadly dubbed out, party half-stepping Drum & Bass science",19541
Aoud,SE MKII,Persephonic Sirens,03,"Droning, Trance inducing Techno monster",79195
Pangaea,Cuba Vox,Hadal,004,"Ace UK Garage & Deep House compatible, deadly ‘secret weapons’ in ‘refix’ mode (one copy per customer)",17229
Etch,Ups & Downs,Sneaker Social Club,LP 003,Magnificent Etch in full range effect - UKG & Jungle revivalism freshly reviewed w/ instrumental Hip Hop beat science thrown in (our sleeves have bent corners),80051
Herbert,Reissues Part 1,Accidental,Jnr. 109,"Eternally fresh, jacking, ever effective House cuts reissued",19273
Overlook,All Of Them Witches,UVB-76,008,"Ace cinematic Ambient collages & fresh, dark Drum & Bass w/ Techno affinities - Highly Recommended!",21308
Joe Lewis,Bring Back The Relief EP,Domina Trxxx,007,"The art of jacking - pure, original Chicago Techno traxxx work out at it’s best",04958
Pugilist,Roll Off,Zam Zam,066,"Ace, dubbed out, stepping Grime related beat science",18819
Globex,Inversia 2,Acting Press,010,"Widely reverberating, horizons shifting Ambient Techno floaters",23010
Various Artists,My House Is Not Your House III,Acido,027,"The Acido family in full effect: leftfield, lo-fi Acid, ace Ambient trips, Disco vibes & what not",00027
Terence Fixmer,Through The Cortex,Ostgut Ton,LP 030,"Luxury presented, stunningly fresh, 1980s EBM tinged, craftily executed Techno explorer (w/ download code)",39749
Ø & Panasonic,Sähkö - The Movie Soundtrack EP,Sähkö,29,"Archive mini album w/ early to mid 1990s sound works, alternative version & edits - Highly Recommended!",18858
Djrum,Portrait With Firewood,R&S,1810,"Perfect, outstandingly composed UKG / Techno / Ambient enchantment!",79976
Parallx,RP1,R - Label Group,RP1,"Pounding, 1990s EBM tinged, flawless Techno banger",21404
Various Artists,Africa Iron Gate Showcase,Dub Store,DSR-LP-616,’variety of youth deejays [...]  over a selection of the very best Roots Radics rhythms’,20840
Agrippa,Mygraine Urgraine,Version,011,"Rhythm adventures somewhere in between Grime, developed Electro & leftfield Techno",21336
Peverelist,Left Hand / Right Hand,Idle Hands,050,"50th release anniversary edition - Bristolian school’s blend of subtle, swinging, UK House & Dubstep roots",18943
Mark,The Least Likely Event Will Occur In The Long Run,Ostgut Ton,Unterton 012,"Ingenious mixture of techy IDM, Drum & Bass and droning Designer Ambient",79614
Desroi,Eutheria,Desroi,002,"Superb, big room commanding Techno force",79990
Bambounou,Parameter Perkusia EP,Disk,014,"Drumming & rhythms centred, stripped down, powerful Techno explorer",19650
Lurka,Heat Mover / Battery,Timedance,015,"Heavily Grime-tinged, swinging UK Techno stepper",18938
Herbert,Reissues Part 3,Accidental,Jnr. 111,Third EP from Herbert’s mid 1990s House revolution properly reissued,18879
Various Artists,Western Lore Presents - Blunted Breaks Vol.1,Western Lore,LP 001,"‘Blurring the lines between future & nostalgia, [...]  jungle music & it’s disparate & eclectic nature.’ (one copy per person)",18883
Herbert,Reissues Part 2,Accidental,Jnr. 110,Valuable reissue - the class of mid 1990s House revolution,19018
Ploy,Ramos,Timedance,014,Supreme out-there Bristolian UKG / Tech House steppers: a class of its own - Highly Recommended!,19566
Cub,Seeing  From  Above,Downwards,79,"Deadly, metallophonic Outernational rhythms integrating Industrial Techno adventure",79859
Various Artists,Blunted Breaks Vol.1 (LP Sampler),Western Lore,LP 01 S,Dead Man’s Chest hosted trip to formative hey-days of Jungle & Drum&Bass - Recommended!,19271
Benjamin Damage,Malfunction,R&S,1809,"Uplifting, widely reverberating, IDM-atmospheric big room Techno",19289
Shimshon Miel,Amsterdam to Nueiba,Fortuna,009,"‘A cosmic, phased-out percussion adventure’",20193
Various Artists,Animisme,Disk,015,Magical drumming works centered trip w/ echoes of Gamelan & idiosyncratic atmospheres - Highly Recommended!,19649
Robert Fleck,Soft Focus EP,Well Street,003,"Ace EP w/ stripped down, dubbed out, crisp & fresh UKG / Tech House explorations",19419
Mark Fell,Intra,Boomkat Editions,016,Wonderful ‘computer generated rhythm for microtonal metallophones’ - TIP!,19390
Raime,Am I Using Content Or Is Content Using Me?,Different Circles,008,"Deadly precise, sparse ‘weightless’ Grime affine Designer Ambient pulses",19408
Forest Drive West,Set Free EP,Rupture LDN,015,Awesome Drum & Bass excursion by one of the most capable dance music projects currently around: ‘a producer who is a master of the tonal vocabulary of soundsystem music’,19420
Maarten Van Der Vleuten,Integrity,R&S,Out 1,Early 90s Detroit / NY schooled Euro-House blended w/ Benelux Synth Wave heritage,21337
DJ Lilocox,Paz & Amor,Príncipe,023,"Uplifting Kuduro grooves relying, strongly House / Tech House affine, ultimate rhythm weapon",19608
Phase Fatale,Redeemer,Hospital Productions,494,"Classy, 1990s EBM leaning, droning Techno excursions",25278
Manos Tsangaris,Elephant’s Easy Moonwalk Through The Night,Nonplace,047,"Intense, metallophonic rhythm explorer - Highly recommended!",21320
Ursula Bogner,Winkel Pong,Faitiche,015,"Ever stunning, Radiophonics akin, vintage Electronic emulations",28760
Dead Man’s Chest,Trip II Eclipse EP,Western Lore,003,Superb Jungle revisiting project in early 90s mixtape derived mode - TIP!,19982
Shed,No Repress But Warehouse Find EP,The Final Experiment,XX8,"Full-range Shed w/ retro-futurist, banging, boomy Techno - pure class!",33338
Loft,Three Settlements Four Ways,Wisdom Teeth,007,"Superb, fresh, stripped down UK Techno / Tech House EP",25206
Company,Prosody,Brenda,007,"Superb, pure, wide big room Techno EP",78756
Kaltès & Nene H.,Protest EP,Eotrax,004,Exceptional Industrial Techno excursions,21518
Kellen303,"""WHB"" EP",Keysound,073,"Blinding, cinematically tripping, killer Grime EP",21446
Silicon Scally,Live @ Scand,Electrix,LP 004,Flawless Acid Electro science by the truly professional grand master Carl Finlow,21157
Lone,Ambivert Tools Volume Three,R&S,1803,Uplifting & in best R&S tradition: atmospheric big room & partly breakbeat saturated Techno,21304
Christian Zanési,Grand Bruit / Stop! l'horizon,Recollection GRM,020,Definitive edition of pioneering Electronic music - Highly recommended!  (w/ download code),27777
D’Arcangelo,D’Arcangelo,Happy Skull,013,Superb blend of braindancing IDM & Electro science w/ echoes of Italy’s rich wave heritage,21432
Simo Cell,Pour Le Club! EP,Livity Sound,029,"Sparsely atmospheric, rhythms & grooves centred Bristolian Techno stepper at its very best",20929
Rhythm & Sound,SMY Remixes #4,Burial Mix,BMX 4,Dream team remix set in House/Techno mode derived from ’See Mi Yah’ album,51172
Round Two,New Day,Main Street,04,Eternal Deep House standard,04993
Cyrus,Enforcement,Basic Channel,01,"Outstanding, idiosyncratic Acid cut w/ outstanding Mills rework + ’Acid-a-capella’",00031
Cyrus,Inversion,Basic Channel,05,"Extended, singular Ambient Techno trips",00035
Basic Channel,Q-Loop,Basic Channel,CD,Vintage BC: ’Q-Loop’ in full length + two cuts previously released on BCD only,00205
Quadrant,Infinition,Basic Channel,QD,Seminal Basic Channel side project,42847
Maurizio,Domina,Maurizio,03,Seminal Techno classic,00003
Maurizio,M 6,Maurizio,06,Essential Dub House w/ developed Basic Channel sound signature,10861
Maurizio,M 7,Maurizio,07,1997 blueprint dub techno/house cuts,16774
Rhythm & Sound w/ Paul St. Hilaire,Music A Fe Rule,Rhythm & Sound,01,Deadly Dub-Stepper,18436
Chosen Brothers,Mango Walk,Rhythm & Sound,02,1979 Bullwackies Prod. b/w killer rework in Rhythm & Sound signature,21922
Rhythm & Sound,Trace,Rhythm & Sound,06,"Endlessly wide, heavy Ambient/Electronic sound textures",35234
Basic Channel,Phylyps Trak II,Basic Channel,09,Eternal Dub Techno blueprints,04810
Rhythm & Sound,See Mi Yah,Burial Mix,BMLP 4,"Vocal versions of See Mi Yah riddim w/ Sugar Minott, Willi Williams a.o.",47139
Round One,I’m Your Brother,Main Street,02,Eternal Deep House standard,01776
Round Five w/ Paul St. Hilaire,Na Fe Throw It,Main Street,10,A fine deep spaced-out dub groove b/w version,28382
Maurizio,M 4,Maurizio,04,"Essential, blueprint House groove",04795
Basic Channel,Basic Reshape,Basic Channel,BR,Set of reshaping Techno/Ambient Techno works originally made for Planet e,43792
Basic Channel,Quadrant Dub,Basic Channel,06,Essential House - dub mixes for Round One’s ’I’m Your Brother’,00036
Rhythm & Sound,Roll Off,Rhythm & Sound,03,Wonderful dubbed out Electronics,22704
Rhythm & Sound,Aground,Rhythm & Sound,07,Unique Ambient Techno pulses,38334
Rhythm & Sound,No Partial,PK,6,One sided reissue feat. Rhythm & Sound dub version,35321
Rhythm & Sound,W/ The Artists,Burial Mix,BMLP 2,Collection of the vocal versions of Burial Mix 06-13. An essential reggae album!,43970
Rhythm & Sound,The Versions,Burial Mix,BMLP 3,Collection of all the instrumental versions of BMD-2. An essential dub album!,43971
Maurizio,M 4.5,Maurizio,04.5,"Essential, blueprint House groove",04796
Basic Channel,Q 1.1,Basic Channel,04,Unique Techno/House EP in BC sound signature,00034
